COMPANY,MODEL,YEAR,Template,MATS,#Clips,Type
BMW,3 Series,2019-2023,DEMO_BMW_3SERIES_G20,4,16,Standard
BMW,5 Series,2017-2023,DEMO_BMW_5SERIES_G30,4,16,Standard
Mercedes,C-Class,2014-2021,DEMO_MERC_CCLASS_W205,4,20,Heavy Duty
Mercedes,E-Class,2016-2023,DEMO_MERC_ECLASS_W213,4,20,Heavy Duty
Ford,Focus,2018-2022,DEMO_FORD_FOCUS_MK4,4,16,Standard
Ford,Fiesta,2017-2023,DEMO_FORD_FIESTA_MK8,4,12,Basic
Vauxhall,Corsa,2019-2023,DEMO_VAUXHALL_CORSA_MK5,4,12,Basic
Vauxhall,Astra,2015-2022,DEMO_VAUXHALL_ASTRA_MK7,4,16,Standard
Tesla,Model 3,2017-2023,DEMO_TESLA_MODEL3_GEN1,4,20,Premium
Tesla,Model Y,2020-2023,DEMO_TESLA_MODELY_GEN1,4,20,Premium
Audi,A4,2016-2023,DEMO_AUDI_A4_B9,4,16,Standard
Audi,A3,2013-2020,DEMO_AUDI_A3_8V,4,16,Standard
Volkswagen,Golf,2013-2020,DEMO_VW_GOLF_MK7,4,16,Standard
Volkswagen,Polo,2017-2023,DEMO_VW_POLO_MK6,4,12,Basic
Honda,Civic,2017-2022,DEMO_HONDA_CIVIC_FK,4,16,Standard
Honda,CR-V,2018-2023,DEMO_HONDA_CRV_RW,4,16,Standard
Toyota,Corolla,2019-2023,DEMO_TOYOTA_COROLLA_E210,4,16,Standard
Toyota,RAV4,2019-2023,DEMO_TOYOTA_RAV4_XA50,4,16,Standard
Nissan,Qashqai,2014-2021,DEMO_NISSAN_QASHQAI_J11,4,16,Standard
Nissan,Micra,2017-2023,DEMO_NISSAN_MICRA_K14,4,12,Basic 